"Parameter","Median","CI_low","CI_high","Rhat","ESS","system"
"Intercept",-0.004,-0.03,0.022,1,12754.95,"Freshwater"
"scaled_year",0.006,-0.116,0.134,1,5521.06,"Freshwater"
"pollution1",-0.01,-0.143,0.124,1,7146.66,"Freshwater"
"habitatl1",0.001,-0.045,0.048,1,12127.95,"Freshwater"
"climatechange1",-0.01,-0.174,0.153,1,10972.94,"Freshwater"
"invasive1",0.009,-0.091,0.103,1,8280.23,"Freshwater"
"exploitation1",-0.001,-0.06,0.06,1,11073.57,"Freshwater"
"disease1",-0.012,-0.209,0.18,1,12865.39,"Freshwater"
"pollution.habitatl1",0.013,-0.136,0.163,1,7589.37,"Freshwater"
"pollution.climatechange1",0.014,-0.391,0.426,1,13203.35,"Freshwater"
"pollution.invasive1",-0.002,-0.373,0.358,1,10973.76,"Freshwater"
"pollution.exploitation1",-0.005,-0.182,0.167,1,7431.1,"Freshwater"
"pollution.disease1",0.023,-0.297,0.342,1,9581.91,"Freshwater"
"habitatl.climatechange1",-0.001,-0.232,0.228,1,10561.24,"Freshwater"
"habitatl.invasive1",0.001,-0.119,0.123,1,7862.94,"Freshwater"
"habitatl.exploitation1",0.003,-0.09,0.099,1,10051.42,"Freshwater"
"habitatl.disease1",0.008,-0.267,0.284,1,10721.85,"Freshwater"
"climatechange.invasive1",-0.003,-0.393,0.38,1,11628.41,"Freshwater"
"climatechange.exploitation1",0.018,-0.302,0.342,1,12398.2,"Freshwater"
"climatechange.disease1",0.013,-0.267,0.297,1,11557.64,"Freshwater"
"invasive.exploitation1",-0.009,-0.145,0.127,1,8448.46,"Freshwater"
"exploitation.disease1",0.016,-0.327,0.365,1,10966.37,"Freshwater"
"pollution.habitatl.invasive1",-0.004,-0.367,0.373,1,11072.99,"Freshwater"
"pollution.habitatl.exploitation1",0.003,-0.202,0.215,1,7960.96,"Freshwater"
"pollution.habitatl.disease1",-0.016,-0.377,0.342,1,10667.78,"Freshwater"
"pollution.climatechange.disease1",0.011,-0.407,0.419,1,11130.4,"Freshwater"
"pollution.exploitation.disease1",0.009,-0.39,0.404,1,9905.53,"Freshwater"
"habitatl.climatechange.invasive1",-0.01,-0.396,0.366,1,11761.48,"Freshwater"
"habitatl.climatechange.exploitation1",0.003,-0.349,0.345,1,11612.46,"Freshwater"
"habitatl.climatechange.disease1",-0.002,-0.336,0.344,1,10364.05,"Freshwater"
"habitatl.invasive.exploitation1",0,-0.239,0.239,1,10506.96,"Freshwater"
"habitatl.exploitation.disease1",-0.007,-0.399,0.377,1,12460.22,"Freshwater"
"scaled_year:pollution1",-0.069,-0.144,0.007,1,3654.67,"Freshwater"
"scaled_year:habitatl1",-0.017,-0.042,0.007,1,2631.19,"Freshwater"
"scaled_year:climatechange1",-0.056,-0.138,0.026,1,5280.14,"Freshwater"
"scaled_year:invasive1",-0.089,-0.137,-0.043,1,3431.43,"Freshwater"
